"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica se é possível aceder à secção de emojis","1714","testAccessEmojis()","","2026-05-15","passed","2026-05-15","","selenide_113190.ShopTest","selenide_113190.ShopTest","testAccessEmojis"
"Verifica se a página da loja está visível","1531","testAccessShop()","","2026-05-15","passed","2026-05-15","","selenide_113190.ShopTest","selenide_113190.ShopTest","testAccessShop"
"Verifica se o link Learn more navega corretamente","2028","testLearnMoreLink()","","2026-05-15","passed","2026-05-15","","selenide_113190.LeaderboardTest","selenide_113190.LeaderboardTest","testLearnMoreLink"
"Verifica se é possível aceder à página dos meus torneios","1463","testAccessMyTournaments()","","2026-05-15","passed","2026-05-15","","selenide_113190.MyTournamentsTest","selenide_113190.MyTournamentsTest","testAccessMyTournaments"
"Verifica se é possível aceder à secção de avatares","1582","testAccessAvatars()","","2026-05-15","passed","2026-05-15","","selenide_113190.ShopTest","selenide_113190.ShopTest","testAccessAvatars"
"Verifica se é possível selecionar o modo de torneio","2645","testSelectTournamentMode()","","2026-05-15","passed","2026-05-15","","selenide_113190.TournamentTest","selenide_113190.TournamentTest","testSelectTournamentMode"
"Verifica se é possível preencher o nome do torneio","2307","testFillTournamentName()","","2026-05-15","passed","2026-05-15","","selenide_113190.TournamentTest","selenide_113190.TournamentTest","testFillTournamentName"
"Verifica se o leaderboard diário está visível na página","1500","testLeaderboardVisible()","","2026-05-15","passed","2026-05-15","","selenide_113190.LeaderboardTest","selenide_113190.LeaderboardTest","testLeaderboardVisible"
"Verifica se é possível aceder à página de criação de torneio","1580","testAccessCreateTournament()","","2026-05-15","passed","2026-05-15","","selenide_113190.MyTournamentsTest","selenide_113190.MyTournamentsTest","testAccessCreateTournament"
"Verifica se é possível aceder à página de criação de torneio","1416","testAccessCreateTournament()","","2026-05-15","passed","2026-05-15","","selenide_113190.TournamentTest","selenide_113190.TournamentTest","testAccessCreateTournament"
